# THE GRAPHICS REGISTRY — every graphic this port has been OBSERVED to draw.
# Written by the game itself (sms-recomp/frame_interp/graphics_db.cpp). Rows are added automatically the first
# frame an emitter draws; measured columns are rewritten every run; the CURATED columns `re` and `note` are
# never touched by the game. Edit those with tools/gfx/graphics_db.py.
#
# WHAT THIS FILE DOES NOT SAY: a graphic that has never drawn in a recorded run is ABSENT, not "does not
# exist" — this is a census of what was observed. `lerp=unmeasured` means the interpolation audit filed
# nothing (the run had SBR_LERP60 off), NOT that the graphic snaps.
#
# re:   unknown | native-override (auto hints) | yes | partial | no | identified   (curated verdicts)
# lerp: yes | partial | camera-only | no | 2d-correct | discontinuous-correct | no-primitives | unmeasured   (MEASURED, per run)
#
# There are deliberately NO draw counts here. A row is a FLAG that a source of visual output exists and
# what is known about it; counts changed every run and made the file churn without saying anything.
key	kind	symbol	stages	re	lerp	first_seen	note
0x800df7b0	immediate	sub_800df778+0x38 (in calcVertices__9TConeBeamFi)	stage4	yes	seam-owned	2026-08-11	TConeBeam's light-shaft cone. The site is inside drawConeBeamAux (unnamed in funcs.txt; the recompiler's table gives the boundary), which emits two triangle fans from the vertex array calcVertices rebuilds every tick. Now covered by pop.cone-beam - tagged per fan by the beam object, 99.7% paired.
0x800df88c	immediate	sub_800df778+0x114 (in calcVertices__9TConeBeamFi)	stage4	yes	seam-owned	2026-08-11	The SECOND GXBegin in drawConeBeamAux. Covered by pop.cone-beam since the seam landed; this row is its pre-fix history.
0x8010fc24	immediate	setupEfbAlpha__17TBossMantaManagerFPQ26JDrama9TGraphics+0x110	stage6	identified	2d-correct	2026-08-11	TBossMantaManager::setupEfbAlpha — writes the manta boss's destination-alpha mask as a screen-space quad before its shadow pass. Orthographic, so snapping is correct by projection. Placement measured as changing tick to tick (matrix-hashed, the weaker form: a shape carried in vertices is invisible to that measure).
0x8011055c	immediate	drawMantaShadow__17TBossMantaManagerFPQ26JDrama9TGraphics+0x5a8	stage6	identified	2d-correct	2026-08-11	TBossMantaManager::drawMantaShadow — the manta's shadow, composited in screen space against the alpha mask setupEfbAlpha laid down. Orthographic; snapping correct by projection.
0x8014044c	immediate	fill_rect__9@unnamed@FRCQ26JDrama5TRectQ28JUtility6TColor+0xbc	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	2d-correct	2026-08-11	fill_rect(const TRect&, TColor) — a solid screen-space rectangle helper (unnamed namespace, TGCConsole2's translation unit). Drawn in every stage. The ONLY population measured PROVABLY STILL: 0 of 7 ticks it drew on showed a placement change, so snapping is right on evidence, not just by projection. The  hint is the 2D census in overrides/diag_2d.cpp, which observes and always runs the real body.
0x801445ec	immediate	sub_801441e0+0x40c (in __dt__11TGCConsole2Fv)	boot,plaza,stage1,stage13,stage14,stage2,stage20,stage21,stage22,stage23,stage24,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	seam-owned	2026-08-11	An unnamed weak method inside TGCConsole2's address range (sub_801441e0+0x40c) — a HUD console element. The US symbol table omits the method, which is the documented gap around 0x801b0000-08f4 and elsewhere; only the enclosing symbol resolves. Orthographic; placement differs on every tick it drew (129 of 129).
0x8014957c	immediate	sub_801492a4+0x2d8 (in __dt__11TGCConsole2Fv)	boot,plaza	unknown	2d-correct	2026-08-14	-
0x80149860	immediate	sub_801492a4+0x5bc (in __dt__11TGCConsole2Fv)	boot,plaza	unknown	2d-correct	2026-08-14	-
0x801499c0	immediate	sub_801492a4+0x71c (in __dt__11TGCConsole2Fv)	boot,plaza,stage1,stage13,stage14,stage2,stage20,stage21,stage22,stage23,stage24,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	seam-owned	2026-08-11	A second unnamed weak method in TGCConsole2's range (sub_801492a4+0x71c) — another HUD console element, same symbol-table gap as 0x801445ec. Orthographic; placement differs on every tick it drew.
0x8017586c	immediate	perform__11TSelectGradFUlPQ26JDrama9TGraphics+0x30c	boot,plaza	unknown	2d-correct	2026-08-14	-
0x8017d4f0	immediate	draw__9TSunGlassFRCQ26JDrama5TRectQ28JUtility6TColor+0x19c	boot,plaza,stage1	identified	2d-correct	2026-08-11	TSunGlass::draw(const TRect&, TColor) — the full-screen fade overlay (GC2D/SunGlass.hpp; startFade drives it). The animated quantity is the COLOUR, not the geometry, and colour is not something this interpolation path touches at all — so  is right here for a reason the projection alone does not give.
0x8017e240	immediate	Hx_Test5+0x2cc	boot,plaza	unknown	no-primitives	2026-08-13	measured under pop.screen-wipe — a seam claims this site's primitives, so it has no verdict of its own
0x8017e740	immediate	Hx_Test4+0x2d4	boot,plaza	unknown	2d-correct	2026-08-14	-
0x80181534	immediate	Hxs2_Circle+0x160	boot,plaza,stage1,stage13,stage14,stage20,stage21,stage22,stage23,stage24,stage7	yes	seam-owned	2026-08-11	hx_wiper screen transition (decomp/sms/include/GC2D/hx_wiper.h). Immediate mode, three f32 positions per vertex straight into the FIFO. Was 2d-correct — wrong: a wipe is an ANIMATION in screen space (Hx_UpdateWipe takes an f32 progress), so the halfway frame is real. Seamed 2026-08-11 as pop.screen-wipe; identity is the call site plus strip index plus a per-tick occurrence (a site draws up to 3 times in a tick, measured).
0x8018162c	immediate	Hxs2_Circle+0x258	boot,plaza,stage1,stage13,stage14,stage20,stage21,stage22,stage23,stage24,stage7	yes	seam-owned	2026-08-11	hx_wiper screen transition (decomp/sms/include/GC2D/hx_wiper.h). Immediate mode, three f32 positions per vertex straight into the FIFO. Was 2d-correct — wrong: a wipe is an ANIMATION in screen space (Hx_UpdateWipe takes an f32 progress), so the halfway frame is real. Seamed 2026-08-11 as pop.screen-wipe; identity is the call site plus strip index plus a per-tick occurrence (a site draws up to 3 times in a tick, measured).
0x80181884	immediate	Hxs1_Circle+0xe0	boot,plaza,stage1,stage13,stage14,stage20,stage21,stage22,stage23,stage24,stage7	yes	seam-owned	2026-08-11	hx_wiper screen transition (decomp/sms/include/GC2D/hx_wiper.h). Immediate mode, three f32 positions per vertex straight into the FIFO. Was 2d-correct — wrong: a wipe is an ANIMATION in screen space (Hx_UpdateWipe takes an f32 progress), so the halfway frame is real. Seamed 2026-08-11 as pop.screen-wipe; identity is the call site plus strip index plus a per-tick occurrence (a site draws up to 3 times in a tick, measured).
0x80181968	immediate	Hxs1_Circle+0x1c4	boot,plaza,stage1,stage13,stage14,stage20,stage21,stage22,stage23,stage24,stage7	yes	seam-owned	2026-08-11	hx_wiper screen transition (decomp/sms/include/GC2D/hx_wiper.h). Immediate mode, three f32 positions per vertex straight into the FIFO. Was 2d-correct — wrong: a wipe is an ANIMATION in screen space (Hx_UpdateWipe takes an f32 progress), so the halfway frame is real. Seamed 2026-08-11 as pop.screen-wipe; identity is the call site plus strip index plus a per-tick occurrence (a site draws up to 3 times in a tick, measured).
0x8018260c	immediate	__Hx_FrBufferMorf+0x158	boot,plaza,stage1,stage13,stage14,stage20,stage21,stage22,stage23,stage24,stage7	yes	seam-owned	2026-08-11	hx_wiper screen transition (decomp/sms/include/GC2D/hx_wiper.h). Immediate mode, three f32 positions per vertex straight into the FIFO. Was 2d-correct — wrong: a wipe is an ANIMATION in screen space (Hx_UpdateWipe takes an f32 progress), so the halfway frame is real. Seamed 2026-08-11 as pop.screen-wipe; identity is the call site plus strip index plus a per-tick occurrence (a site draws up to 3 times in a tick, measured).
0x8018ea24	immediate	perform__12TMapDrawWallFUlPQ26JDrama9TGraphics+0x298	plaza,stage1	identified	2d-correct	2026-08-12	MapDraw.cpp:22 TMapDrawWall::perform — the blue tint quad drawn when the camera is inside geometry (gpCamera->getUnk2C8() != -1). Pure screen space: MTXIdentity into GX_PNMTX0, GXPosition2s16 in raw pixels 0..SMSGetGameRenderWidth/Height, GXSetZMode(0, GX_ALWAYS, 0), cull none. Snapping the GEOMETRY is therefore correct and needs no camera term. NOT wholly static, though: unk18 ramps +3 per tick in and -5 per tick out, driving both the quad's alpha and its inset (sVar1 = unk14.a - unk18), so the fade steps at the tick rate on an interpolated frame. Sub-visible for a low-alpha full-screen tint; interpolating it would mean carrying unk18 prev/cur, not a matrix.
0x801982c0	immediate	drawUpper__8TMapWireCFv+0x48	boot,plaza,stage1,stage13,stage2	native-override	seam-owned	2026-08-21	measured under pop.wire — a seam claims this site's primitives, so it has no verdict of its own
0x801983f4	immediate	sub_801983a8+0x4c (in drawUpper__8TMapWireCFv)	boot,plaza,stage1,stage13,stage2	native-override	seam-owned	2026-08-21	measured under pop.wire — a seam claims this site's primitives, so it has no verdict of its own
0x801984d0	immediate	sub_801983a8+0x128 (in drawUpper__8TMapWireCFv)	boot,plaza,stage1,stage13,stage2	native-override	seam-owned	2026-08-21	measured under pop.wire — a seam claims this site's primitives, so it has no verdict of its own
0x8019b774	immediate	cleanProhibitArea__22TPollutionCounterLayerCFi+0x180	boot,plaza,stage1,stage2	identified	2d-correct	2026-08-11	TPollutionCounterLayer::cleanProhibitArea — clears the no-goo region of the pollution layer's own texture. Renders into an offscreen target rather than the frame, so there is no on-screen in-between to produce.
0x8019bee4	immediate	doTask__FUsiP23TPollutionLayerTaskInfoP7ResTIMGUsUsl+0x154	boot,plaza,stage2,stage8,stage9	identified	2d-correct	2026-08-11	doTask(u16, int, TPollutionLayerTaskInfo*, ResTIMG*, ...) — the pollution layer's per-tile paint task, drawing goo tiles into the layer texture. Offscreen, like cleanProhibitArea.
0x8019c648	immediate	drawTex__FUsUs+0x80	boot,plaza,stage1,stage2,stage3,stage6,stage8,stage9	identified	2d-correct	2026-08-11	drawTex(u16, u16) — the pollution layer's tile blit, one quad per tile into the layer texture. Which tiles are drawn changes per tick; that is a content change, not motion.
0x8019cc2c	indexed	countObjDegree__20TPollutionCounterObjCFv+0x214	boot,plaza,stage2	yes	no-primitives	2026-08-11	A display list that sets state and emits no primitives (pollution counter). Nothing to interpolate - no-primitives is the final answer, not a gap.
0x8019cc4c	j3d-shape	countObjDegree__20TPollutionCounterObjCFv+0x234	boot,plaza,stage2	identified	2d-correct	2026-08-11	TPollutionCounterObj::countObjDegree — reads back the pollution coverage; the j3d-shape draw here is the counting pass over the layer, not a visible element.
0x8019d110	immediate	drawBlack__FUsUs+0x13c	boot,plaza,stage1,stage2,stage3,stage6,stage8,stage9	identified	2d-correct	2026-08-11	drawBlack(u16, u16) — the pollution layer's tile clear, the counterpart to drawTex. Offscreen.
0x801da3a4	immediate	draw__9TCogwheelCFv+0x9c	stage9	yes	seam-owned	2026-08-11	TCogwheel::draw (0x801da308) — Noki Bay's 天秤 balance scale. Immediate mode with direct f32 positions written into the FIFO at 0xCC008000, computed as a centre plus/minus half-extents from the object's own fields, two GXBegin per draw. Seamed 2026-08-11 (SB_POP_COGWHEEL): identity is (this, strip index), and it went camera-only -> 100% interpolates, 782 of 784 draws lerped.
0x801da4b4	immediate	draw__9TCogwheelCFv+0x1ac	stage9	yes	seam-owned	2026-08-11	TCogwheel::draw's SECOND GXBegin — the balance scale's other strip. Claimed by the pop.cogwheel seam (SB_POP_COGWHEEL), which gives every strip in the call its own identity, so this site has no verdict of its own.
0x801dc470	immediate	draw__11TMapObjFlagFv+0x124	boot,plaza,stage1,stage13	native-override	seam-owned	2026-08-21	measured under pop.flag — a seam claims this site's primitives, so it has no verdict of its own
0x801dd2a0	immediate	draw__11TMapObjWaveFv+0x84	boot,plaza,stage1,stage13,stage15	native-override	seam-owned	2026-08-21	measured under pop.sea-ripple — a seam claims this site's primitives, so it has no verdict of its own
0x801e98c8	immediate	sub_801e9880+0x48 (in __ct__17TMapObjGrassGroupFv)	stage23,stage8	yes	seam-owned	2026-08-11	TMapObjGrassGroup::drawFar (function starts 0x801e9880) emits direct s16 far-LOD grass. It uses the same group identity as drawNear; the shared vertex path decodes its VAT fractional shift, lerps in position units, then re-encodes big-endian s16. Stage 8, 400 ticks: pop.grass 391/392 vertex draws lerped (99.7%).
0x801e99f4	immediate	sub_801e99a8+0x4c (in __ct__17TMapObjGrassGroupFv)	boot,plaza,stage2,stage23,stage8	yes	seam-owned	2026-08-11	TMapObjGrassGroup::drawNear - swaying grass. One GX_TRIANGLES primitive per group, rebuilt every tick (per-blade sway offset from the manager's table, outer vertices along a camera-facing width vector). Covered with drawFar by pop.grass; stage 8 measured 391/392 vertex draws lerped (99.7%).
0x801f38cc	immediate	drawOneRope__11TSwingBoardCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>+0x90	stage4,stage8	yes	seam-owned	2026-08-11	TSwingBoard's rope. One primitive per call, two fixed call sites per board, so the identity is (board, call site) - both structural, no ordinal, and self-checked against a site drawing twice in one tick. Now covered by pop.swing-rope, 99.7% paired.
0x801f43d4	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x84	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
